"DATASET","SERIES_CODE","OBS_MEASURE","COUNTRY","2016","2017","2018","2019","2020","2021","2022","2023","2024","2025"
"IMF.STA:LS(9.0.0)","FIN.U.PT.A","OBS_VALUE","Finland","8.916666666666668","8.766666666666668","7.433333333333332","6.741666666666668","7.725","7.675","6.766666666666668","7.216666666666668","8.383333333333332",""
"IMF.STA:LS(9.0.0)","ZMB.U.PT.A","OBS_VALUE","Zambia","","4.732","5.032","5.538","6.032","5.649","6.098","5.95","",""
"IMF.STA:LS(9.0.0)","IRN.U.PT.A","OBS_VALUE","Iran, Islamic Republic of","12.617","12.23375","12.1955","10.74","9.686","9.28","9.0815","8.12875","",""
"IMF.STA:LS(9.0.0)","DOM.U.PT.A","OBS_VALUE","Dominican Republic","7.28575","5.829","5.8555","6.354916666666665","6.07125","7.703083333333332","5.501083333333332","5.556833333333332","5.309916666666668",""
"IMF.STA:LS(9.0.0)","KGZ.U.PT.A","OBS_VALUE","Kyrgyz Republic","4.02025","3.28275","4.58675","5.4835","5.9825","5.17825","4.80025","3.51725","",""
"IMF.STA:LS(9.0.0)","MUS.U.PT.A","OBS_VALUE","Mauritius","6.826583333333332","6.765916666666665","6.434833333333332","6.33225","8.627","7.3275","6.346","5.57475","",""
"IMF.STA:LS(9.0.0)","BTN.U.PT.A","OBS_VALUE","Bhutan","","8.3525","9.22","9.8425","11.535","4.804","5.947","3.126","3.282",""
"IMF.STA:LS(9.0.0)","DEU.U.PT.A","OBS_VALUE","Germany","3.9","3.525","3.191666666666668","2.95","3.625","3.6","3.141666666666668","3.083333333333332","3.391666666666665",""
"IMF.STA:LS(9.0.0)","LAO.U.PT.A","OBS_VALUE","Lao People's Democratic Republic","","3.269","","","","","1.209","","",""
"IMF.STA:LS(9.0.0)","BFA.U.PT.A","OBS_VALUE","Burkina Faso","","","4.695","1.56","","","1.927","5.348","3.441",""
"IMF.STA:LS(9.0.0)","KOR.U.PT.A","OBS_VALUE","Korea, Republic of","3.652833333333332","3.655","3.825083333333335","3.74925","3.931083333333332","3.648583333333332","2.861333333333332","2.67875","2.786583333333332",""
"IMF.STA:LS(9.0.0)","BGR.U.PT.A","OBS_VALUE","Bulgaria","8.583333333333335","7.166666666666665","6.216666666666668","5.191666666666668","6.058333333333335","5.175","4.158333333333332","4.341666666666665","4.183333333333335",""
"IMF.STA:LS(9.0.0)","IRL.U.PT.A","OBS_VALUE","Ireland","8.408333333333332","6.75","5.8","5.008333333333332","5.858333333333332","6.258333333333335","4.466666666666668","4.308333333333332","4.3",""
"IMF.STA:LS(9.0.0)","ATG.U.PT.A","OBS_VALUE","Antigua and Barbuda","","","8.78","","","","","5.37","",""
"IMF.STA:LS(9.0.0)","GIN.U.PT.A","OBS_VALUE","Guinea","","","","5.018","","","","","",""
"IMF.STA:LS(9.0.0)","TZA.U.PT.A","OBS_VALUE","Tanzania, United Republic of","3.86","3.4175","3.2825","3.4825","4.4775","","","","",""
"IMF.STA:LS(9.0.0)","RUS.U.PT.A","OBS_VALUE","Russian Federation","5.523944830074982","5.194728656165482","4.793687189312445","4.597085228081212","5.763728217238902","4.834202866638158","3.951648773044165","3.158089844874135","2.516934658484465",""
"IMF.STA:LS(9.0.0)","MDA.U.PT.A","OBS_VALUE","Moldova, Republic of","1.592","1.625","1.24325","1.50675","1.209","0.79725","0.9105","1.57325","1.42775",""
"IMF.STA:LS(9.0.0)","URY.U.PT.A","OBS_VALUE","Uruguay","7.861916666666665","7.927666666666665","8.374","8.874083333333335","10.41375","9.338083333333332","7.877083333333332","8.355583333333335","8.211416666666668",""
"IMF.STA:LS(9.0.0)","PHL.U.PT.A","OBS_VALUE","Philippines","2.69675","2.557","2.33825","2.235","2.47125","3.8965","3.086583333333332","2.501333333333332","",""
"IMF.STA:LS(9.0.0)","NZL.U.PT.A","OBS_VALUE","New Zealand","5.1","4.725","4.275","4.1","4.6","3.8","3.3","3.775","4.75",""
"IMF.STA:LS(9.0.0)","SEN.U.PT.A","OBS_VALUE","Senegal","4.455","4.078","3.567","2.8735","","","5.06175","4.6745","5.82725",""
"IMF.STA:LS(9.0.0)","KEN.U.PT.A","OBS_VALUE","Kenya","2.757","","","5.014","","5.587","5.4515","","",""
"IMF.STA:LS(9.0.0)","SYC.U.PT.A","OBS_VALUE","Seychelles","3.98025","3.7555","3.5295","2.9365","4.3175","","","2.934","2.593",""
"IMF.STA:LS(9.0.0)","TUV.U.PT.A","OBS_VALUE","Tuvalu","8.489","26.553","","","","","7.318","","",""
"IMF.STA:LS(9.0.0)","MNG.U.PT.A","OBS_VALUE","Mongolia","7.23525","6.375","5.35475","9.09025","6.41325","7.94475","5.991","5.185","5.80975",""
"IMF.STA:LS(9.0.0)","VNM.U.PT.A","OBS_VALUE","Vietnam","1.8465","1.872","1.14825","1.681","2.10425","2.236","1.57","1.60675","1.52925",""
"IMF.STA:LS(9.0.0)","CHE.U.PT.A","OBS_VALUE","Switzerland","4.916666666666668","4.8","4.708333333333332","4.391666666666668","4.8","5.008333333333332","4.125","4.041666666666668","4.341666666666668",""
"IMF.STA:LS(9.0.0)","SVK.U.PT.A","OBS_VALUE","Slovak Republic","9.658333333333332","8.083333333333332","6.508333333333332","5.716666666666665","6.658333333333335","6.824999999999998","6.15","5.85","5.341666666666668",""
"IMF.STA:LS(9.0.0)","TTO.U.PT.A","OBS_VALUE","Trinidad and Tobago","3.2065","","","3.528","4.21475","4.438","4.38275","3.36825","",""
"IMF.STA:LS(9.0.0)","BWA.U.PT.A","OBS_VALUE","Botswana","","","","20.094","21.017","23.106","23.615","23.381","24.433",""
"IMF.STA:LS(9.0.0)","GHA.U.PT.A","OBS_VALUE","Ghana","","3.369","","","","3.195","2.8615","","",""
"IMF.STA:LS(9.0.0)","MMR.U.PT.A","OBS_VALUE","Myanmar","","4.66025","5.06725","5.0925","11.535","","","","",""
"IMF.STA:LS(9.0.0)","RWA.U.PT.A","OBS_VALUE","Rwanda","","11.875","10.759","11.236","13.5615","15.64475","15.0625","12.356","11.3295",""
"IMF.STA:LS(9.0.0)","KHM.U.PT.A","OBS_VALUE","Cambodia","0.716","0.141","","0.499","0.172","0.396","","0.256","",""
"IMF.STA:LS(9.0.0)","PAK.U.PT.A","OBS_VALUE","Pakistan","2.286","","4.6455","4.83","6.74","6.338","","","",""
"IMF.STA:LS(9.0.0)","JAM.U.PT.A","OBS_VALUE","Jamaica","8.634","7.399","5.46775","4.986","6.501","5.1915","4.083","3.022","",""
"IMF.STA:LS(9.0.0)","HND.U.PT.A","OBS_VALUE","Honduras","6.727","5.528","5.648","5.698","10.983","8.506","8.774","6.071","4.91",""
"IMF.STA:LS(9.0.0)","NPL.U.PT.A","OBS_VALUE","Nepal","","8.3525","9.22","9.8425","11.535","","","","",""
"IMF.STA:LS(9.0.0)","MOZ.U.PT.A","OBS_VALUE","Mozambique, Republic of","","","","","","","6.789","","",""
"IMF.STA:LS(9.0.0)","FJI.U.PT.A","OBS_VALUE","Fiji, Republic of","4.32","","","","","","","","5.361",""
"IMF.STA:LS(9.0.0)","GMB.U.PT.A","OBS_VALUE","Gambia, The","","","4.055","","","","","6.479","",""
"IMF.STA:LS(9.0.0)","BOL.U.PT.A","OBS_VALUE","Bolivia","3.493666666666668","3.664416666666665","3.523083333333335","3.959583333333332","8.464583333333332","5.075416666666665","3.5405","2.982083333333332","2.79",""
"IMF.STA:LS(9.0.0)","WBG.U.PT.A","OBS_VALUE","West Bank and Gaza","23.93725","25.67025","26.273","25.3485","25.90475","26.409","24.42225","24.92625","31.46375",""
"IMF.STA:LS(9.0.0)","MLT.U.PT.A","OBS_VALUE","Malta","4.7","4.008333333333332","3.958333333333332","4.083333333333332","4.85","3.766666666666665","3.475","3.483333333333332","3.2",""
"IMF.STA:LS(9.0.0)","BGD.U.PT.A","OBS_VALUE","Bangladesh","4.35","4.372","","","","","4.59125","3.3515","3.64575",""
"IMF.STA:LS(9.0.0)","AGO.U.PT.A","OBS_VALUE","Angola","","","","16.431","","15.766","14.094","","",""
"IMF.STA:LS(9.0.0)","ZAF.U.PT.A","OBS_VALUE","South Africa","26.536","27.29575","26.9055","28.461","28.96625","34.0055","33.277","32.102","32.27925",""
"IMF.STA:LS(9.0.0)","BRB.U.PT.A","OBS_VALUE","Barbados","8.247","8.62","8.321","8.41","","11.015","7.261","6.54","",""
"IMF.STA:LS(9.0.0)","ISR.U.PT.A","OBS_VALUE","Israel","4.722916666666668","4.140083333333332","3.91475","3.73075","4.169916666666668","4.810916666666665","3.69125","3.37025","2.901833333333332",""
"IMF.STA:LS(9.0.0)","BLR.U.PT.A","OBS_VALUE","Belarus, Republic of","5.844","5.648","4.763","4.165","4.049","3.925","3.574","3.461","3.04",""
"IMF.STA:LS(9.0.0)","CMR.U.PT.A","OBS_VALUE","Cameroon","","","","","","3.275","","","",""
"IMF.STA:LS(9.0.0)","TUR.U.PT.A","OBS_VALUE","Türkiye, Republic of","10.90833333333334","10.925","10.9","13.73333333333334","13.14166666666666","12.03333333333333","10.48333333333333","9.391666666666668","8.733333333333332",""
"IMF.STA:LS(9.0.0)","CHL.U.PT.A","OBS_VALUE","Chile","6.92925","7.294583333333332","7.660583333333335","7.589","11.312","9.432750000000002","8.317999999999998","9.08775","8.761",""
"IMF.STA:LS(9.0.0)","EGY.U.PT.A","OBS_VALUE","Egypt, Arab Republic of","12.44125","11.7735","9.846","7.85025","8.00975","7.4405","7.34425","6.75725","5.946",""
"IMF.STA:LS(9.0.0)","AUS.U.PT.A","OBS_VALUE","Australia","5.714166666666665","5.60625","5.308999999999998","5.165","6.443083333333332","5.140333333333332","3.725166666666668","3.687083333333335","4.01425",""
"IMF.STA:LS(9.0.0)","SUR.U.PT.A","OBS_VALUE","Suriname","7.917","","","","","","","","",""
"IMF.STA:LS(9.0.0)","ARE.U.PT.A","OBS_VALUE","United Arab Emirates","1.64","2.462","2.236","2.331","4.294","3.105","2.873","2.151","1.88",""
"IMF.STA:LS(9.0.0)","ARG.U.PT.A","OBS_VALUE","Argentina","","8.3555","9.221","9.842","11.53725","8.74825","6.806","6.14175","7.1255",""
"IMF.STA:LS(9.0.0)","BIH.U.PT.A","OBS_VALUE","Bosnia and Herzegovina","25.408","20.527","36.01487541427848","33.370125480783","33.80384053071305","32.37827463837475","16.84887148213542","10.67","10.714",""
"IMF.STA:LS(9.0.0)","ARM.U.PT.A","OBS_VALUE","Armenia, Republic of","17.636","17.73125","13.28725","12.35225","12.0225","10.08325","7.93775","8.298","",""
"IMF.STA:LS(9.0.0)","LUX.U.PT.A","OBS_VALUE","Luxembourg","6.333333333333332","5.616666666666668","5.5","5.591666666666668","6.691666666666668","5.425","4.6","5.216666666666668","6.3",""
