"DATASET","SERIES_CODE","OBS_MEASURE","COUNTRY","INDICATOR","FREQUENCY","SCALE","2016","2017","2018","2019","2020","2021","2022","2023","2024","2025"
"IMF.RES:WEO(9.0.0)","LUX.NGDPDPC.A","OBS_VALUE","Luxembourg","Gross domestic product (GDP), Current prices, Per capita, US dollar","Annual","Units","107948.007","111211.579","118135.070","113830.259","117570.398","136190.492","125295.365","134402.714","138757.218","146818.025"
"IMF.RES:WEO(9.0.0)","SMR.NID_NGDP.A","OBS_VALUE","San Marino, Republic of","Gross capital formation, Percent of GDP","Annual","Units","15.769","19.119","20.609","24.024","18.051","22.235","23.026","16.583","17.054","16.747"
"IMF.RES:WEO(9.0.0)","LUX.NID_NGDP.A","OBS_VALUE","Luxembourg","Gross capital formation, Percent of GDP","Annual","Units","17.932","18.890","16.995","18.653","17.930","18.688","17.033","16.426","15.843","14.848"
"IMF.RES:WEO(9.0.0)","SMR.GGXWDG_NGDP.A","OBS_VALUE","San Marino, Republic of","Gross debt, General government, Percent of GDP","Annual","Units","21.385","56.585","56.672","56.214","69.789","77.189","70.555","68.336","63.942","62.721"
"IMF.RES:WEO(9.0.0)","LIE.NGDPDPC.A","OBS_VALUE","Liechtenstein, Principality of","Gross domestic product (GDP), Current prices, Per capita, US dollar","Annual","Units","164964.283","169867.002","174385.361","166126.240","164000.283","201297.542","185955.408","207075.459","210704.447","231713.063"
"IMF.RES:WEO(9.0.0)","NOR.NID_NGDP.A","OBS_VALUE","Norway","Gross capital formation, Percent of GDP","Annual","Units","27.713","27.541","27.717","29.600","31.347","25.085","21.168","24.241","24.120","23.888"
"IMF.RES:WEO(9.0.0)","NLD.NID_NGDP.A","OBS_VALUE","Netherlands, The","Gross capital formation, Percent of GDP","Annual","Units","19.776","20.215","20.480","21.758","21.352","22.194","22.863","20.081","19.665","19.873"
"IMF.RES:WEO(9.0.0)","NOR.NGDPDPC.A","OBS_VALUE","Norway","Gross domestic product (GDP), Current prices, Per capita, US dollar","Annual","Units","70629.250","75940.152","82605.966","76303.704","68275.277","92955.249","108908.039","87276.150","86587.079","91883.687"
"IMF.RES:WEO(9.0.0)","SWE.NGDPDPC.A","OBS_VALUE","Sweden","Gross domestic product (GDP), Current prices, Per capita, US dollar","Annual","Units","51330.711","52881.379","53728.192","51405.427","52437.634","60435.671","54656.482","54871.777","57020.378","62036.060"
"IMF.RES:WEO(9.0.0)","NLD.GGXWDG_NGDP.A","OBS_VALUE","Netherlands, The","Gross debt, General government, Percent of GDP","Annual","Units","60.883","55.986","51.576","47.657","53.416","50.501","48.414","45.921","43.795","44.037"
"IMF.RES:WEO(9.0.0)","NLD.NGDPDPC.A","OBS_VALUE","Netherlands, The","Gross domestic product (GDP), Current prices, Per capita, US dollar","Annual","Units","46936.707","49640.480","54138.331","53755.165","53529.218","60380.434","59540.881","63768.728","67690.232","73173.715"
"IMF.RES:WEO(9.0.0)","SWE.NID_NGDP.A","OBS_VALUE","Sweden","Gross capital formation, Percent of GDP","Annual","Units","24.349","25.092","25.336","24.477","24.421","25.272","26.922","25.263","25.357","25.190"
"IMF.RES:WEO(9.0.0)","FIN.NID_NGDP.A","OBS_VALUE","Finland","Gross capital formation, Percent of GDP","Annual","Units","23.553","24.280","25.692","24.540","24.953","24.764","27.262","22.935","22.256","22.715"
"IMF.RES:WEO(9.0.0)","JPN.NID_NGDP.A","OBS_VALUE","Japan","Gross capital formation, Percent of GDP","Annual","Units","24.836","25.215","25.642","25.790","25.224","25.825","26.789","26.122","26.118","26.492"
"IMF.RES:WEO(9.0.0)","FIN.NGDPDPC.A","OBS_VALUE","Finland","Gross domestic product (GDP), Current prices, Per capita, US dollar","Annual","Units","43502.557","46109.916","49698.347","48395.834","48827.138","53203.799","50551.801","53043.995","53286.040","56083.740"
"IMF.RES:WEO(9.0.0)","CHE.GGXWDG_NGDP.A","OBS_VALUE","Switzerland","Gross debt, General government, Percent of GDP","Annual","Units","40.934","41.753","39.785","39.636","43.200","40.981","37.192","38.682","37.521","36.878"
"IMF.RES:WEO(9.0.0)","CAN.NID_NGDP.A","OBS_VALUE","Canada","Gross capital formation, Percent of GDP","Annual","Units","22.761","23.550","23.377","23.042","22.675","24.305","25.319","23.895","23.200","23.208"
"IMF.RES:WEO(9.0.0)","CAN.GGXWDG_NGDP.A","OBS_VALUE","Canada","Gross debt, General government, Percent of GDP","Annual","Units","92.397","90.942","90.776","90.210","118.066","112.617","104.207","107.711","111.302","113.937"
"IMF.RES:WEO(9.0.0)","CHE.NGDPDPC.A","OBS_VALUE","Switzerland","Gross domestic product (GDP), Current prices, Per capita, US dollar","Annual","Units","82594.672","82601.752","85559.711","84481.630","86136.210","93967.276","94806.404","101510.452","104681.183","111046.892"
"IMF.RES:WEO(9.0.0)","CAN.NGDPDPC.A","OBS_VALUE","Canada","Gross domestic product (GDP), Current prices, Per capita, US dollar","Annual","Units","42382.499","45192.368","46617.970","46430.975","43573.195","52912.175","56358.067","54376.269","54531.118","54934.843"
"IMF.RES:WEO(9.0.0)","LIE.GGXWDG_NGDP.A","OBS_VALUE","Liechtenstein, Principality of","Gross debt, General government, Percent of GDP","Annual","Units","0.438","0.557","0.490","0.578","0.529","0.454","0.515","0.470","0.485","0.500"
"IMF.RES:WEO(9.0.0)","JPN.GGXWDG_NGDP.A","OBS_VALUE","Japan","Gross debt, General government, Percent of GDP","Annual","Units","232.421","231.321","232.380","236.381","258.369","253.652","248.246","240.461","236.108","229.572"
